,movie_title,movie_id,tags
0,Avatar,tt0499549,action adventur fantasi sci-fi avatar futur marin nativ parapleg cchpounder joeldavidmoor wesstudi jamescameron
1,Pirates of the Caribbean: At World's End,tt0449088,action adventur fantasi goddess marriag ceremoni marriag propos pirat singapor johnnydepp orlandobloom jackdavenport goreverbinski
2,Spectre,tt2379713,action adventur thriller bomb espionag sequel spi terrorist christophwaltz rorykinnear stephaniesigman sammend
3,The Dark Knight Rises,tt1345836,action thriller decept imprison lawless polic offic terrorist plot tomhardi christianbal josephgordon-levitt christophernolan
4,John Carter,tt0401729,action adventur sci-fi alien american civil war male nippl mar princess darylsabara samanthamorton pollywalk andrewstanton
5,Spider-Man 3,tt0413300,action adventur romanc sandman spider man symbiot venom villain j.k.simmon jamesfranco kirstendunst samraimi
6,Tangled,tt0398286,adventur anim comedi famili fantasi music romanc 17th centuri base on fairi tale disney flower tower bradgarrett donnamurphi m.c.gainey nathangreno
7,Avengers: Age of Ultron,tt2395427,action adventur sci-fi artifici intellig base on comic book captain america marvel cinemat univers superhero chrishemsworth robertdowneyjr. scarlettjohansson josswhedon
8,Harry Potter and the Half-Blood Prince,tt0417741,adventur famili fantasi mysteri blood book love potion professor alanrickman danielradcliff rupertgrint davidy
9,Batman v Superman: Dawn of Justice,tt2975590,action adventur sci-fi base on comic book batman sequel to a reboot superhero superman henrycavil laurencohan aland.purwin zacksnyd
10,Superman Returns,tt0348150,action adventur sci-fi crystal epic lex luthor loi lane return to earth kevinspacey marlonbrando franklangella bryansing
11,Quantum of Solace,tt0830515,action adventur action hero attempt rape bond girl offici jame bond seri reveng giancarlogiannini mathieuamalr rorykinnear marcforst
12,Pirates of the Caribbean: Dead Man's Chest,tt0383574,action adventur fantasi box offic hit giant squid heart liar' dice monster johnnydepp orlandobloom jackdavenport goreverbinski
13,The Lone Ranger,tt1210819,action adventur western hors outlaw texa texa ranger train johnnydepp ruthwilson tomwilkinson goreverbinski
14,Man of Steel,tt0770828,action adventur fantasi sci-fi base on comic book british actor play american charact final battl origin of hero reboot henrycavil christophermeloni harrylennix zacksnyd
15,The Chronicles of Narnia: Prince Caspian,tt0499448,action adventur famili fantasi brother brother relationship brother sister relationship good versu evil king narnia peterdinklag pierfrancescofavino damiánalcázar andrewadamson
16,The Avengers,tt0848228,action adventur sci-fi alien invas assassin battl iron man soldier chrishemsworth robertdowneyjr. scarlettjohansson josswhedon
17,Pirates of the Caribbean: On Stranger Tides,tt1298650,action adventur fantasi blackbeard captain pirat reveng soldier johnnydepp samclaflin stephengraham robmarshal
18,Men in Black 3,tt1409024,action adventur comedi famili fantasi sci-fi alien crimin m.i.b. maximum secur prison prison willsmith michaelstuhlbarg nicolescherzing barrysonnenfeld
19,The Hobbit: The Battle of the Five Armies,tt2310332,adventur fantasi armi elf hobbit middl earth orc aidanturn adambrown jamesnesbitt peterjackson
20,The Amazing Spider-Man,tt0948470,action adventur fantasi lizard outcast spider spider man teenag emmaston andrewgarfield chriszylka marcwebb
21,Robin Hood,tt0955308,action adventur drama histori 1190 archer england king of england robin hood markaddi williamhurt scottgrim ridleyscott
22,The Hobbit: The Desolation of Smaug,tt1170358,adventur fantasi dwarf elf lake town mountain sword and sorceri aidanturn adambrown jamesnesbitt peterjackson
23,The Golden Compass,tt0385752,adventur famili fantasi children epic friend girl quest christopherle evagreen kristinscottthoma chrisweitz
24,King Kong,tt0360717,action adventur drama romanc anim name in titl ape abduct a woman gorilla island king kong naomiwatt thomaskretschmann evanpark peterjackson
25,Titanic,tt0120338,drama romanc artist love ship titan wet leonardodicaprio katewinslet gloriastuart jamescameron
26,Captain America: Civil War,tt3498820,action adventur sci-fi base on comic book knife marvel cinemat univers return charact kill off superhero robertdowneyjr. scarlettjohansson chrisevan anthonyrusso
27,Battleship,tt1440129,action adventur sci-fi thriller box offic flop hawaii naval oahu hawaii ship liamneeson alexanderskarsgård tadanobuasano peterberg
28,Jurassic World,tt0369610,action adventur sci-fi thriller dinosaur disast film experi gone wrong jurass park velociraptor brycedallashoward judygr omarsi colintrevorrow
29,Skyfall,tt1074638,action adventur thriller brawl childhood home comput cracker intellig agenc terrorist cell albertfinney helenmccrori rorykinnear sammend
30,Spider-Man 2,tt0316654,action adventur fantasi romanc death doctor scientist super villain tentacl j.k.simmon jamesfranco kirstendunst samraimi
31,Iron Man 3,tt1300854,action adventur sci-fi armor explos human bomb missil attack terrorist robertdowneyjr. jonfavreau doncheadl shaneblack
32,Alice in Wonderland,tt1014759,adventur famili fantasi alic in wonderland mistak realiti for dream queen shrink shrink potion johnnydepp alanrickman annehathaway timburton
33,X-Men: The Last Stand,tt0376994,action adventur fantasi sci-fi thriller battl mutant outrag walk through a wall x men hughjackman kelseygramm danielcudmor brettratn
34,Monsters University,tt1453405,adventur anim comedi famili fantasi cheat fratern monster sing in a car univers stevebuscemi tylerlabin seanhay danscanlon
35,Transformers: Revenge of the Fallen,tt1055369,action adventur sci-fi autobot decepticon machin sun symbol glennmorshow kevindunn ramonrodriguez michaelbay
36,Transformers: Age of Extinction,tt2109248,action adventur sci-fi blockbust bumblebe the charact semi truck and trailer texa truck bingbingli sophiamyl kelseygramm michaelbay
37,Oz the Great and Powerful,tt1623205,adventur famili fantasi circu magic magician oz witch timholm milakuni jamesfranco samraimi
38,The Amazing Spider-Man 2,tt1872181,action adventur fantasi sci-fi costum hero death of girlfriend mask vigilant return charact kill off teenag emmaston andrewgarfield b.j.novak marcwebb
39,TRON: Legacy,tt1104001,action adventur sci-fi arcad bridg disappear escap warrior jeffbridg oliviawild jamesfrain josephkosinski
40,Cars 2,tt1216475,adventur anim comedi famili sport best friend car race conspiraci gadget car spi joemantegna thomaskretschmann eddieizzard johnlasset
41,Green Lantern,tt1133985,action adventur sci-fi autopsi lantern planet ring test pilot ryanreynold temueramorrison taikawait martincampbel
42,Toy Story 3,tt0435761,adventur anim comedi famili fantasi colleg day care escap teddi bear toy tomhank johnratzenberg donrickl leeunkrich
43,Terminator Salvation,tt0438488,action adventur sci-fi death row futur machin rescu skynet christianbal brycedallashoward common mcg
44,Furious 7,tt2820852,action crime thriller car fall off a cliff hospit reveng star die befor releas terrorist jasonstatham paulwalk vindiesel jameswan
45,World War Z,tt0816711,action adventur horror sci-fi thriller chao diseas infect pandem zombi petercapaldi bradpitt mireilleeno marcforst
46,X-Men: Days of Future Past,tt1877832,action adventur fantasi sci-fi thriller dystopia super strength supernatur power time paradox time travel jenniferlawr peterdinklag hughjackman bryansing
47,Star Trek Into Darkness,tt1408101,action adventur sci-fi admir captain manhunt mission space benedictcumberbatch brucegreenwood noelclark j.j.abram
48,Jack the Giant Slayer,tt1351685,adventur fantasi bean giant king no open credit princess eddiemarsan ewenbremn ralphbrown bryansing
49,The Great Gatsby,tt1343092,drama romanc ingratitud mansion parti titl appear in write tragedi leonardodicaprio elizabethdebicki stevebisley bazluhrmann
50,Prince of Persia: The Sands of Time,tt0473075,action adventur fantasi romanc alamut dagger king persia princess jakegyllenha richardcoyl reeceritchi mikenewel
51,Pacific Rim,tt1663662,action adventur sci-fi giant monster kaiju pilot portal robot charliehunnam cliftoncollinsjr. larryjoecampbel guillermodeltoro
52,Transformers: Dark of the Moon,tt1399103,action adventur sci-fi autobot decepticon job interview moon spacecraft glennmorshow lesterspeight kevindunn michaelbay
53,Indiana Jones and the Kingdom of the Crystal Skull,tt0367882,action adventur fantasi cult figur femm fatal indiana jone unsubtitl foreign languag year 1957 harrisonford raywinston jimbroadb stevenspielberg
54,Brave,tt1217209,adventur anim comedi famili fantasi archeri come of age femal warrior princess rebelli daughter kellymacdonald johnratzenberg juliewalt markandrew
55,Star Trek Beyond,tt2660888,action adventur sci-fi thriller hatr sequel space opera star trek third part sofiaboutella melissaroxburgh lydiawilson justinlin
56,WALL·E,tt0910970,adventur anim famili sci-fi earth obes plant robot soil johnratzenberg fredwillard jeffgarlin andrewstanton
57,Rush Hour 3,tt0293564,action comedi crime thriller ambassador assassin chines french triad tzima danaivey noémielenoir brettratn
58,2012,tt1190080,action adventur sci-fi ark catastroph geologist presid writer oliverplatt liamjam tommccarthi rolandemmerich
59,A Christmas Carol,tt1067106,anim drama famili fantasi charl dicken christma christma eve ghost scroog robinwright colinfirth garyoldman robertzemecki
60,Jupiter Ascending,tt1617661,action adventur sci-fi box offic flop critic bash planet earth space opera woman in bra and panti channingtatum milakuni eddieredmayn lanawachowski
61,The Legend of Tarzan,tt0918940,action adventur drama romanc africa captur jungl male objectif tarzan christophwaltz alexanderskarsgård caspercrump davidy
62,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",tt0363771,adventur famili fantasi hide and seek lion magic professor snow jimbroadb kiranshah shanerangi andrewadamson
63,X-Men: Apocalypse,tt3385516,action adventur sci-fi mutant superhero superhero team x men year 1983 jenniferlawr michaelfassbend tyesheridan bryansing
64,The Dark Knight,tt0468569,action crime drama thriller base on comic book dc comic psychopath star die befor releas urban set christianbal heathledg morganfreeman christophernolan
65,Up,tt1049413,adventur anim comedi famili balloon hous promis retir skeleton johnratzenberg delroylindo jessharnel petedoct
66,Monsters vs. Aliens,tt0892782,action adventur anim comedi famili sci-fi alien alien invas alien space craft giant giantess amypoehl rainnwilson stephencolbert robletterman
67,Iron Man,tt0371746,action adventur sci-fi afghanistan billionair inventor playboy u.s. air forc robertdowneyjr. jeffbridg jonfavreau jonfavreau
68,Hugo,tt0970179,adventur drama famili mysteri automaton mechan railway station steampunk train chloëgracemoretz christopherle raywinston martinscorses
69,Wild Wild West,tt0120891,action comedi sci-fi western buddi movi gener inventor steampunk utah willsmith salmahayek bail barrysonnenfeld
70,The Mummy: Tomb of the Dragon Emperor,tt0859163,action adventur fantasi horror thriller armi china emperor mummi shangri la jetli brendanfras russellwong robcohen
71,Suicide Squad,tt1386697,action adventur comedi sci-fi base on comic book critic bash father daughter relationship refer to superman super villain willsmith robinatkindown ikebarinholtz daviday
72,Evan Almighty,tt0413099,comedi famili fantasi ark chang congressman depict of god flood jimmybennett morganfreeman stevecarel tomshadyac
73,Edge of Tomorrow,tt1631867,action adventur sci-fi alien combat die repeatedli end of the world time loop tomcruis larapulv noahtaylor dougliman
74,Waterworld,tt0114898,action adventur sci-fi thriller futur sail sea smoker water jeannetripplehorn rickavil zakesmoka kevinreynold
75,G.I. Joe: The Rise of Cobra,tt1046173,action adventur sci-fi thriller cobra gi joe snake train warhead josephgordon-levitt dennisquaid leohoward stephensomm
76,Inside Out,tt2096673,adventur anim comedi drama famili fantasi anger joy memori run away sad amypoehl mindyk phyllissmith petedoct
77,The Jungle Book,tt3040964,adventur drama famili fantasi fire jungl remak tiger wolf scarlettjohansson billmurray garryshandl jonfavreau
